row_number,visitor_id,search_timestamp,category,pro_user_id,num_reviews,avg_rating,pro_last_active_time_before_search,cost_estimate_cents,result_position,service_page_viewed
11777,343138191012724000,2018-11-15 12:09:51.468 UTC,Local Moving (under 50 miles),331396323430498000,20,4.95,2018-11-15 03:27:52.981 UTC,10000,2,FALSE
14247,343087512537251000,2018-11-14 22:05:12.956 UTC,Local Moving (under 50 miles),331396323430498000,20,4.95,2018-11-13 22:43:08.426 UTC,10000,2,TRUE
20852,343061947849736000,2018-11-14 14:59:08.154 UTC,Local Moving (under 50 miles),331396323430498000,20,4.95,2018-11-13 22:43:08.426 UTC,10000,1,FALSE
24375,343156523295588000,2018-11-15 17:15:23.71 UTC,Local Moving (under 50 miles),331396323430498000,20,4.95,2018-11-15 16:33:47.087 UTC,10000,1,FALSE
7595,342980952901468000,2018-11-13 16:29:13.608 UTC,House Cleaning,288669767773520000,20,5,2018-11-12 21:42:12.869 UTC,10000,5,FALSE
8499,343155972667342000,2018-11-15 17:06:13.382 UTC,House Cleaning,288669767773520000,20,5,2018-11-15 13:19:33.837 UTC,10000,1,FALSE
22716,343540894584004000,2018-11-20 04:01:35.429 UTC,House Cleaning,288669767773520000,20,5,2018-11-17 22:39:28.019 UTC,10000,5,TRUE
3745,342974682394509000,2018-11-13 14:44:43.108 UTC,House Cleaning,263073403364082000,20,4.85,2018-11-11 18:38:04.769 UTC,14000,8,FALSE
13436,343101806320468000,2018-11-15 02:03:27.015 UTC,House Cleaning,263073403364082000,20,4.85,2018-11-11 18:38:04.769 UTC,14000,6,FALSE
22900,343160496798933000,2018-11-15 18:21:37.72 UTC,House Cleaning,263073403364082000,20,4.85,2018-11-11 18:38:04.769 UTC,17000,6,FALSE
25423,343166524016263000,2018-11-15 20:02:04.701 UTC,House Cleaning,263073403364082000,20,4.85,2018-11-11 18:38:04.769 UTC,14000,6,FALSE
25825,342996004867473000,2018-11-13 20:40:05.837 UTC,House Cleaning,263073403364082000,20,4.85,2018-11-11 18:38:04.769 UTC,14000,7,FALSE
13740,342723768890228000,2018-11-10 17:02:49.7 UTC,House Cleaning,269850724624434000,20,4.95,2018-11-10 13:02:25.574 UTC,12200,1,FALSE
16210,342731957456445000,2018-11-10 19:19:18.288 UTC,House Cleaning,269850724624434000,20,4.95,2018-11-10 13:02:25.574 UTC,7000,1,FALSE
16390,342728991222194000,2018-11-10 18:29:52.095 UTC,House Cleaning,269850724624434000,20,4.95,2018-11-10 13:02:25.574 UTC,7000,1,FALSE
16503,342890769192796000,2018-11-12 15:26:10.109 UTC,House Cleaning,269850724624434000,20,4.95,2018-11-12 00:00:07.955 UTC,13600,7,FALSE
858,341106772524441000,2018-10-22 23:52:53.343 UTC,House Cleaning,334597182900461000,20,5,2018-10-22 17:21:37.897 UTC,12600,1,FALSE
5791,343416408856371000,2018-11-18 17:26:49.518 UTC,House Cleaning,259038976271434000,276,4.706521739,2018-11-18 04:41:22.807 UTC,17000,1,FALSE
12022,343503692328116000,2018-11-19 17:41:33.19 UTC,House Cleaning,259038976271434000,276,4.706521739,2018-11-19 04:06:54.046 UTC,18000,2,FALSE
8809,343188555485241000,2018-11-16 02:09:16.006 UTC,Local Moving (under 50 miles),230903402942956000,276,4.721014493,2018-11-15 02:23:40.116 UTC,10000,1,TRUE
25646,343150824149254000,2018-11-15 15:40:24.826 UTC,Local Moving (under 50 miles),230903402942956000,276,4.721014493,2018-11-15 02:23:40.116 UTC,10000,4,FALSE
95,342544935050371000,2018-11-08 15:22:16.026 UTC,House Cleaning,282430559290934000,21,3.857142857,2018-11-04 01:35:14.083 UTC,12400,15,FALSE
7270,342623745729814000,2018-11-09 13:15:46.57 UTC,House Cleaning,282430559290934000,21,3.857142857,2018-11-04 01:35:14.083 UTC,9000,16,FALSE
15527,342831090356764000,2018-11-11 22:51:31.324 UTC,House Cleaning,282430559290934000,21,3.857142857,2018-11-10 01:22:04.053 UTC,9000,17,FALSE
17718,342814983697866000,2018-11-11 18:23:04.65 UTC,House Cleaning,282430559290934000,21,3.857142857,2018-11-10 01:22:04.053 UTC,9000,9,FALSE
7252,340661218862792000,2018-10-17 20:06:59.795 UTC,Local Moving (under 50 miles),321907780270800000,21,4.380952381,2018-10-17 19:20:30.67 UTC,9000,2,FALSE
9100,340052861229351000,2018-10-10 19:07:41.839 UTC,House Cleaning,325620392586043000,21,4.666666667,2018-10-10 18:32:05.316 UTC,17100,3,FALSE
10099,340140777309716000,2018-10-11 19:32:57.879 UTC,House Cleaning,325620392586043000,21,4.666666667,2018-10-11 18:09:16.366 UTC,15900,3,FALSE
10360,340055769281929000,2018-10-10 19:56:09.856 UTC,House Cleaning,325620392586043000,21,4.666666667,2018-10-10 18:32:05.316 UTC,16500,3,FALSE
24126,339887997174694000,2018-10-08 21:19:58.084 UTC,House Cleaning,325620392586043000,21,4.666666667,2018-10-08 17:26:00.255 UTC,18300,4,FALSE
4992,341265389153812000,2018-10-24 19:56:29.888 UTC,House Cleaning,326578852211171000,21,4.619047619,2018-10-24 15:11:25.488 UTC,8000,6,FALSE
12679,341254463604195000,2018-10-24 16:54:24.249 UTC,House Cleaning,326578852211171000,21,4.619047619,2018-10-24 15:11:25.488 UTC,12000,6,FALSE
18964,341112798822449000,2018-10-23 01:33:19.439 UTC,House Cleaning,326578852211171000,21,4.619047619,2018-10-20 00:33:08.177 UTC,8000,7,FALSE
23018,341088025449160000,2018-10-22 18:40:26.192 UTC,House Cleaning,326578852211171000,21,4.619047619,2018-10-20 00:33:08.177 UTC,8000,7,FALSE
25762,341257341440147000,2018-10-24 17:42:22.148 UTC,House Cleaning,326578852211171000,21,4.619047619,2018-10-24 15:11:25.488 UTC,8000,7,FALSE
1547,339430165817688000,2018-10-03 14:09:26.525 UTC,House Cleaning,236671082921329000,21,4.80952381,2018-09-26 23:16:04.325 UTC,9000,9,FALSE
3852,340139642990026000,2018-10-11 19:14:03.613 UTC,House Cleaning,236671082921329000,21,4.80952381,2018-10-10 22:49:54.341 UTC,12000,6,FALSE
4994,341265389153812000,2018-10-24 19:56:29.888 UTC,House Cleaning,236671082921329000,21,4.80952381,2018-10-15 17:14:15.973 UTC,9000,8,FALSE
5684,340467247309332000,2018-10-15 14:14:08.034 UTC,House Cleaning,236671082921329000,21,4.80952381,2018-10-15 00:42:19.546 UTC,9000,10,FALSE
8563,339313634936307000,2018-10-02 05:47:15.893 UTC,House Cleaning,236671082921329000,21,4.80952381,2018-09-26 23:16:04.325 UTC,18500,9,FALSE
12680,341254463604195000,2018-10-24 16:54:24.249 UTC,House Cleaning,236671082921329000,21,4.80952381,2018-10-15 17:14:15.973 UTC,12000,7,FALSE
13670,341445338189930000,2018-10-26 21:55:38.968 UTC,House Cleaning,236671082921329000,21,4.80952381,2018-10-15 17:14:15.973 UTC,9000,5,FALSE
18441,341726444110184000,2018-10-30 04:00:44.808 UTC,House Cleaning,236671082921329000,21,4.80952381,2018-10-27 13:36:56.014 UTC,9000,8,FALSE
18968,341112798822449000,2018-10-23 01:33:19.439 UTC,House Cleaning,236671082921329000,21,4.80952381,2018-10-15 17:14:15.973 UTC,9000,11,FALSE
20162,341727711606866000,2018-10-30 04:21:52.23 UTC,House Cleaning,236671082921329000,21,4.80952381,2018-10-27 13:36:56.014 UTC,12000,5,FALSE
22062,341769612485042000,2018-10-30 16:00:13.196 UTC,House Cleaning,236671082921329000,21,4.80952381,2018-10-27 13:36:56.014 UTC,9000,5,FALSE
22477,341943614566342000,2018-11-01 16:20:15.323 UTC,House Cleaning,236671082921329000,21,4.80952381,2018-10-27 13:36:56.014 UTC,12000,3,FALSE
23021,341088025449160000,2018-10-22 18:40:26.192 UTC,House Cleaning,236671082921329000,21,4.80952381,2018-10-15 17:14:15.973 UTC,9000,10,FALSE
25764,341257341440147000,2018-10-24 17:42:22.148 UTC,House Cleaning,236671082921329000,21,4.80952381,2018-10-15 17:14:15.973 UTC,9000,9,FALSE
4905,339379206534013000,2018-10-03 00:00:07.509 UTC,House Cleaning,322174113331478000,21,4.714285714,2018-10-02 16:50:24.637 UTC,12500,4,FALSE
23166,339514187462484000,2018-10-04 13:29:48.311 UTC,House Cleaning,322174113331478000,21,4.714285714,2018-10-02 16:50:24.637 UTC,12500,5,FALSE
5117,344372019820175000,2018-11-29 18:53:40.637 UTC,House Cleaning,244346759208403000,21,4.428571429,2018-01-29 06:13:41.634 UTC,33600,7,FALSE
10479,344376786421342000,2018-11-29 20:13:07.445 UTC,House Cleaning,244346759208403000,21,4.428571429,2018-11-29 19:23:41.47 UTC,24200,6,FALSE
20920,344374037690220000,2018-11-29 19:27:18.557 UTC,House Cleaning,244346759208403000,21,4.428571429,2018-11-29 19:23:41.47 UTC,9500,7,FALSE
21407,344388509984751000,2018-11-29 23:28:30.887 UTC,House Cleaning,244346759208403000,21,4.428571429,2018-11-29 22:04:46.426 UTC,9500,6,FALSE
2662,342041581204726000,2018-11-02 19:33:02.028 UTC,House Cleaning,334938038400294000,21,4.285714286,2018-11-02 00:17:40.272 UTC,11200,3,FALSE
3217,342431322582917000,2018-11-07 07:48:43.335 UTC,House Cleaning,334938038400294000,21,4.285714286,2018-11-05 22:51:10.786 UTC,11000,6,FALSE
5546,341615274273677000,2018-10-28 21:07:54.876 UTC,House Cleaning,334938038400294000,21,4.285714286,2018-10-28 18:16:02.209 UTC,10700,2,TRUE
7751,342255542695059000,2018-11-05 06:59:03.645 UTC,House Cleaning,334938038400294000,21,4.285714286,2018-11-04 00:06:31.041 UTC,13200,7,FALSE
7884,341952985528598000,2018-11-01 18:56:26.157 UTC,House Cleaning,334938038400294000,21,4.285714286,2018-10-31 01:13:27.876 UTC,11200,2,FALSE
9150,342455691865080000,2018-11-07 14:34:52.57 UTC,House Cleaning,334938038400294000,21,4.285714286,2018-11-05 22:51:10.786 UTC,11000,6,FALSE
12314,341860082247090000,2018-10-31 17:08:02.928 UTC,House Cleaning,334938038400294000,21,4.285714286,2018-10-31 01:13:27.876 UTC,11200,6,FALSE
17524,341714409316114000,2018-10-30 00:40:09.825 UTC,House Cleaning,334938038400294000,21,4.285714286,2018-10-28 21:12:11.107 UTC,17500,1,TRUE
